date,model_num,epoch_num,loss,network,pretrained,train_fraction
2023-12-09,4.0,0.0,127.22949,No-BG,1.0,0.6
2023-12-09,4.0,1.0,10.767802,BG,1.0,0.6
2023-12-09,4.0,1.0,102.20092,No-BG,1.0,0.6
2023-12-09,4.0,2.0,11.101738,BG,1.0,0.6
2023-12-09,4.0,2.0,87.46295,No-BG,1.0,0.6
2023-12-09,4.0,3.0,11.574621,BG,1.0,0.6
2023-12-09,4.0,3.0,73.6814,No-BG,1.0,0.6
2023-12-09,4.0,4.0,12.2732525,BG,1.0,0.6
2023-12-09,4.0,4.0,62.080593,No-BG,1.0,0.6
2023-12-09,4.0,5.0,13.033473,BG,1.0,0.6
2023-12-09,4.0,5.0,54.24802,No-BG,1.0,0.6
2023-12-09,4.0,6.0,13.454388,BG,1.0,0.6
2023-12-09,4.0,6.0,50.24401,No-BG,1.0,0.6
2023-12-09,4.0,7.0,12.900887,BG,1.0,0.6
2023-12-09,4.0,7.0,48.287186,No-BG,1.0,0.6
2023-12-09,4.0,8.0,11.772533,BG,1.0,0.6
2023-12-09,4.0,8.0,47.783043,No-BG,1.0,0.6
2023-12-09,4.0,9.0,10.563355,BG,1.0,0.6
2023-12-09,4.0,9.0,45.362915,No-BG,1.0,0.6
2023-12-09,4.0,10.0,10.173685,BG,1.0,0.6
2023-12-09,4.0,10.0,43.640198,No-BG,1.0,0.6
2023-12-09,4.0,11.0,11.425461,BG,1.0,0.6
2023-12-09,4.0,11.0,43.07616,No-BG,1.0,0.6
2023-12-09,4.0,12.0,12.026599,BG,1.0,0.6
2023-12-09,4.0,12.0,40.124287,No-BG,1.0,0.6
2023-12-09,4.0,13.0,12.170417,BG,1.0,0.6
2023-12-09,4.0,13.0,39.78095,No-BG,1.0,0.6
2023-12-09,4.0,14.0,12.7904415,BG,1.0,0.6
2023-12-09,4.0,14.0,39.142292,No-BG,1.0,0.6
2023-12-10,2.0,0.0,85.80135,BG,1.0,0.6
2023-12-10,2.0,0.0,212.21736,No-BG,1.0,0.6
2023-12-10,2.0,1.0,60.056824,BG,1.0,0.6
2023-12-10,2.0,1.0,170.79018,No-BG,1.0,0.6
2023-12-10,2.0,2.0,49.79968,BG,1.0,0.6
2023-12-10,2.0,2.0,132.83205,No-BG,1.0,0.6
2023-12-10,2.0,3.0,35.40061,BG,1.0,0.6
2023-12-10,2.0,3.0,107.56626,No-BG,1.0,0.6
2023-12-10,2.0,4.0,34.52669,BG,1.0,0.6
2023-12-10,2.0,4.0,98.53327,No-BG,1.0,0.6
2023-12-10,2.0,5.0,30.962584,BG,1.0,0.6
2023-12-10,2.0,5.0,97.84742,No-BG,1.0,0.6
2023-12-10,2.0,6.0,24.052979,BG,1.0,0.6
2023-12-10,2.0,6.0,93.02181,No-BG,1.0,0.6
2023-12-10,2.0,7.0,19.611162,BG,1.0,0.6
2023-12-10,2.0,7.0,86.319695,No-BG,1.0,0.6
2023-12-10,2.0,8.0,19.524136,BG,1.0,0.6
